,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
69983,Mn2ScTl,94972260-fb4f-4c7b-b820-f1645121fb75,"[[2.94918531, 2.94918531, 0.0], [-2.94918531, 2.94918531, -0.0], [0.0, 0.0, 8.41730396]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 21 21 81 81],-6.38989354125,0.1542336743749999,
64051,Lu2WSi,6a70c84b-90a4-415b-ab8f-535226936f89,"[[3.44001804, 3.44001804, 0.0], [-3.44001804, 3.44001804, 0.0], [-0.0, 0.0, 6.79298202]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[71 71 71 71 74 74 14 14],-6.68332063125,0.1377388212499992,
36946,Rh2MoTl,83311ae1-5c4f-465a-b124-4698e7715fff,"[[2.89371285, 2.89371285, 0.0], [-2.89371285, 2.89371285, -0.0], [0.0, 0.0, 7.75958086]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 42 42 81 81],-6.73006785125,0.1834589218749993,
51157,ReCoIn,f2dcbcd0-b3c0-475a-aead-844448f74733,"[[3.02679085, 3.02679085, 0.0], [-3.02679085, 3.02679085, 0.0], [-0.0, -0.0, 6.06079639]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.24999999999999997], [0.9999999999999998, 0.49999999999999983, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.4999999999999997, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999997, 0.49999999999999983, 0.49999999999999983]]",[75 75 27 27 49 49],-6.295037506666667,1.0355414200000002,
46580,Hf2IrBi,c3c7d4cd-b1ba-4f00-aa6c-eaf6009a3706,"[[3.13743928, 3.13743928, 0.0], [-3.13743928, 3.13743928, -0.0], [0.0, 0.0, 8.24901794]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 72 72 77 77 83 83],-8.3887683325,-0.2426960787500007,
76385,Cu2TaTl,e664bcb7-571f-4003-b1bf-e13020022219,"[[2.87486567, 2.87486567, -0.0], [-2.87486567, 2.87486567, -0.0], [0.0, 0.0, 7.98682826]]","[[0.4999999999999999, 3.861825740975078e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.861825740975078e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[29 29 29 29 73 73 81 81],-4.81617175125,0.5632056268749999,
77609,Zn2OsAs,7d13b0be-fe8e-448f-b048-d80220c8feb1,"[[2.77882231, 2.77882231, -0.0], [-2.77882231, 2.77882231, -0.0], [0.0, -0.0, 7.74040928]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[30 30 30 30 76 76 33 33],-4.23708996625,0.290399783749999,
80295,Zr2CuBi,0dfdd95a-9822-42bf-862a-e7a24d42fdd4,"[[2.95999439, 2.95999439, -0.0], [-2.95999439, 2.95999439, -0.0], [-0.0, -0.0, 9.61074495]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 40 40 29 29 83 83],-6.24665211625,-0.0805391599999998,
39459,PdOsAs,0f7e6d19-6746-41ab-b9fc-97aad5f50b26,"[[2.51381975, 2.51381975, 0.0], [-2.51381975, 2.51381975, -0.0], [-0.0, 0.0, 8.32045488]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 76 76 33 33],-6.489180695000001,0.5489606916666657,
5783,VMnPb,2aff441f-3335-48a6-9789-c9b72b8a7c31,"[[-0.0, 3.03620033, 3.03620033], [3.03620033, -0.0, 3.03620033], [3.03620033, 3.03620033, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[23 25 82],-6.249737096666667,0.882976286666666,
