,composition,UUID,cell,positions,numbers
19067,Ni2ScBi,1b1d745d-6efb-473f-a2f1-3b1f106ad815,"[[2.84798425, 2.84798425, 0.0], [-2.84798425, 2.84798425, 0.0], [-0.0, -0.0, 8.33741161]]","[[0.5, 3.8982765604309666e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.5, 3.8982765604309666e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]",[28 28 28 28 21 21 83 83]
17448,Co2CuBi,790f1a90-034d-4eda-8cd8-2b99fbe2ca61,"[[2.74680593, 2.74680593, -0.0], [-2.74680593, 2.74680593, 0.0], [-0.0, -0.0, 7.84516812]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 29 29 83 83]
35278,RuPdSi,7b13320b-221a-4ed2-af68-a1a952092f16,"[[2.90926859, 2.90926859, 0.0], [-2.90926859, 2.90926859, -0.0], [-0.0, 0.0, 5.85508202]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 46 46 14 14]
91554,HfVP,cca4b13d-4943-4c2f-a088-750e8d4a8ccc,"[[2.41398009, 2.41398009, 0.0], [-2.41398009, 2.41398009, 0.0], [-0.0, 0.0, 8.94072973]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 23 23 15 15]
99883,Ir2HfPb,c8ea89d1-4c45-4291-8315-bbcc89e45627,"[[2.8484278, 2.8484278, -0.0], [-2.8484278, 2.8484278, 0.0], [0.0, 0.0, 8.88737431]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[77 77 77 77 72 72 82 82]
65590,Sc2ReTl,a692d003-f874-44ea-a7f6-27ee2f7efc39,"[[2.98597251, 2.98597251, 0.0], [-2.98597251, 2.98597251, 0.0], [-0.0, -0.0, 8.85954508]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 75 75 81 81]
86628,RhYP,e4cc9ab6-3234-4913-bcea-1b7107404ab3,"[[3.09479041, 3.09479041, 0.0], [-3.09479041, 3.09479041, -0.0], [-0.0, -0.0, 6.20542629]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7500000000000001], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]",[45 45 39 39 15 15]
18769,Co2IrSb,a7f8b8f6-93a5-48bf-9426-b28b2025ae04,"[[2.75900814, 2.75900814, 0.0], [-2.75900814, 2.75900814, -0.0], [0.0, -0.0, 7.30195135]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 77 77 51 51]
77327,Zn2AgSb,3b603ee1-744f-408d-bfa7-393a26f39416,"[[3.78459182, 3.78459182, -0.0], [-3.78459182, 3.78459182, 0.0], [-0.0, -0.0, 5.63344258]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[30 30 30 30 47 47 51 51]
98364,Os2HfBi,e41f406c-1af1-47b3-ad80-a295a96664b2,"[[2.82952632, 2.82952632, -0.0], [-2.82952632, 2.82952632, -0.0], [0.0, 0.0, 9.04209488]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 76 76 72 72 83 83]
7573,V2WSn,d2d33b5c-4971-46cb-9f5a-6b57f42e2b7c,"[[3.16690421, 3.16690421, 0.0], [-3.16690421, 3.16690421, 0.0], [0.0, 0.0, 6.34363232]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[23 23 23 23 74 74 50 50]
22197,Cu2ZrAs,3617f351-6f33-4141-ab5d-c049e4efaa05,"[[2.70009502, 2.70009502, -0.0], [-2.70009502, 2.70009502, -0.0], [-0.0, -0.0, 8.72867207]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[29 29 29 29 40 40 33 33]
95656,W2HfGa,a535bf8d-e3bf-482e-ae6e-91d83d6ba2b5,"[[3.07346734, 3.07346734, -0.0], [-3.07346734, 3.07346734, 0.0], [-0.0, -0.0, 7.19622305]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[74 74 74 74 72 72 31 31]
16512,Co2TiAs,663c6d83-c52e-4b9e-92a2-7db6ca4ce0b7,"[[2.54778587, 2.54778587, 0.0], [-2.54778587, 2.54778587, 0.0], [0.0, -0.0, 7.73114813]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[27 27 27 27 22 22 33 33]
52473,Os2ScTl,ca0a0148-71be-46e7-9edc-2697b553f28f,"[[-0.0, 3.26829855, 3.26829855], [3.26829855, 0.0, 3.26829855], [3.26829855, 3.26829855, -0.0]]","[[0.2500000000000001, 0.2500000000000001, 0.24999999999999986], [0.7500000000000001, 0.7500000000000001, 0.7499999999999994], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.0, 0.0, 0.0]]",[76 76 21 81]
17518,Co2ZnIn,164216d2-90c7-4349-b928-bb8a3842d391,"[[3.00347724, 3.00347724, 0.0], [-3.00347724, 3.00347724, -0.0], [0.0, 0.0, 6.0180529]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 30 30 49 49]
42186,CdTiTl,48dd8f55-8c1e-46da-80d2-b4c2c9c9af03,"[[2.90059948, 2.90059948, 0.0], [-2.90059948, 2.90059948, -0.0], [-0.0, 0.0, 9.06876201]]","[[0.5, 0.0, 0.25], [0.0, 0.49999999999999994, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 22 22 81 81]
33693,MoCdTl,1c06c598-7501-44a7-affa-725cc0d5485d,"[[3.34000791, 3.34000791, 0.0], [-3.34000791, 3.34000791, 0.0], [0.0, -0.0, 6.64162614]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 48 48 81 81]
90219,Cd2MnP,2f5f7f27-f41f-4fd0-ba85-343ea26e8901,"[[2.77411217, 2.77411217, -0.0], [-2.77411217, 2.77411217, -0.0], [0.0, 0.0, 9.56637794]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 25 25 15 15]
37325,Rh2HfSb,f2a66963-7549-4ab4-ab76-4769d359df61,"[[2.96483959, 2.96483959, -0.0], [-2.96483959, 2.96483959, 0.0], [0.0, 0.0, 7.78948026]]","[[0.5, 3.744631002533114e-17, 0.24999999999999997], [0.9999999999999999, 0.4999999999999999, 0.7499999999999998], [0.5, 3.744631002533114e-17, 0.7499999999999998], [0.9999999999999999, 0.4999999999999999, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.49999999999999983]]",[45 45 45 45 72 72 51 51]
103559,LaCuP,b9936e00-f33c-4fc6-aaad-9a28a28a7cc1,"[[3.89512348, 3.89512348, 0.0], [-3.89512348, 3.89512348, -0.0], [0.0, 0.0, 4.71426471]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 29 29 15 15]
57128,PtCdIn,7db25fc3-8d78-4304-b5f5-31cd518adb29,"[[3.25582692, 3.25582692, 0.0], [-3.25582692, 3.25582692, -0.0], [0.0, 0.0, 6.38074759]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 48 48 49 49]
84502,Ru2MnAs,ebda1a3d-a1b0-48be-938a-ab4ed693f979,"[[2.64346496, 2.64346496, 0.0], [-2.64346496, 2.64346496, -0.0], [0.0, 0.0, 7.82821369]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 25 25 33 33]
54190,Ir2VIn,5aa35120-08b9-4ddc-b4b7-f326e3176d08,"[[2.88509237, 2.88509237, -0.0], [-2.88509237, 2.88509237, -0.0], [0.0, 0.0, 7.4548572]]","[[0.5, 3.8481368436226414e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.5, 3.8481368436226414e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]",[77 77 77 77 23 23 49 49]
2088,Sc2HfSn,731d238e-937b-4b52-8aaf-07b64a7916ca,"[[3.06423435, 3.06423435, -0.0], [-3.06423435, 3.06423435, -0.0], [-0.0, -0.0, 9.57878379]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[21 21 21 21 72 72 50 50]
2811,Ti2Sn,4f23d1c9-d14f-4038-bc25-4142b14070c5,"[[2.81118062, 2.81118062, 0.0], [-2.81118062, 2.81118062, 0.0], [0.0, -0.0, 8.47040346]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[22 22 22 22 50 50]
31815,NbWGa,ac026290-a6e1-4416-98d9-8fb1dde7e07f,"[[2.59259986, 2.59259986, 0.0], [-2.59259986, 2.59259986, -0.0], [-0.0, -0.0, 8.49602023]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 74 74 31 31]
47465,Ta2ZnSi,82aeed05-1d8a-4088-bca9-1dfaddd28707,"[[2.83669686, 2.83669686, -0.0], [-2.83669686, 2.83669686, -0.0], [0.0, -0.0, 7.90099821]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[73 73 73 73 30 30 14 14]
93671,Ta2NiAl,4bbe8c84-4b12-46bc-a8f6-31ee5bc9741e,"[[2.69117624, 2.69117624, -0.0], [-2.69117624, 2.69117624, -0.0], [0.0, 0.0, 8.64511914]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[73 73 73 73 28 28 13 13]
34566,Ru2FeGa,33a24098-4760-4319-97ad-b5f9770779f5,"[[2.99583898, 2.99583898, -0.0], [-2.99583898, 2.99583898, 0.0], [-0.0, -0.0, 5.98689316]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 26 26 31 31]
73136,Co2FeAl,efdf8391-b9a8-4906-82da-ec0cb6a1542e,"[[2.49554052, 2.49554052, -0.0], [-2.49554052, 2.49554052, -0.0], [0.0, 0.0, 7.47880786]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[27 27 27 27 26 26 13 13]
1967,Sc2AgBi,3656ac51-3b7c-4e5a-8894-c94fabae6bad,"[[3.2772022, 3.2772022, 0.0], [-3.2772022, 3.2772022, -0.0], [0.0, 0.0, 8.37657922]]","[[0.5, 3.3877159750019595e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.3877159750019595e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5000000000000002, 0.5000000000000002, 0.0], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000002, 0.5]]",[21 21 21 21 47 47 83 83]
72551,FeTaAs,e38f27ec-6266-48e9-8bed-48d46e3bd9d7,"[[2.85126578, 2.85126578, 0.0], [-2.85126578, 2.85126578, -0.0], [0.0, 0.0, 5.70378105]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 73 73 33 33]
46553,Hf2IrIn,1ad2d609-0bae-4e38-ad47-774680fb07e7,"[[3.08447472, 3.08447472, 0.0], [-3.08447472, 3.08447472, -0.0], [0.0, 0.0, 8.12179872]]","[[0.5, 3.5993909025299346e-17, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 3.5993909025299346e-17, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5000000000000002, 0.5000000000000002, 0.0], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000002, 0.5]]",[72 72 72 72 77 77 49 49]
26293,YVBi,68012a1c-afed-4908-b895-f38489704126,"[[2.89906365, 2.89906365, 0.0], [-2.89906365, 2.89906365, -0.0], [0.0, 0.0, 9.91416495]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 23 23 83 83]
17674,Co2ZrGe,1e115e0d-71d2-4daf-80bb-fba7e792df01,"[[3.03186072, 3.03186072, 0.0], [-3.03186072, 3.03186072, 0.0], [0.0, -0.0, 6.07746955]]","[[0.49999999999999983, 3.6618536508008073e-17, 0.24999999999999997], [0.9999999999999999, 0.49999999999999983, 0.7499999999999998], [0.49999999999999983, 3.6618536508008073e-17, 0.7499999999999998], [0.9999999999999999, 0.49999999999999983, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.49999999999999983]]",[27 27 27 27 40 40 32 32]
100993,Pt2MoP,8cc4eca9-cb67-406c-86e4-f7626eeeb987,"[[3.10551146, 3.10551146, 0.0], [-3.10551146, 3.10551146, 0.0], [-0.0, 0.0, 6.23764473]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 78 78 42 42 15 15]
91220,Cd2OsAl,b0e8ab41-101d-4371-9237-622a7bbff839,"[[2.86991733, 2.86991733, -0.0], [-2.86991733, 2.86991733, -0.0], [-0.0, -0.0, 8.37770082]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 76 76 13 13]
97095,Re2OsGa,074c2a95-a7b7-49c3-a737-73c3b4b635e3,"[[3.09105925, 3.09105925, 0.0], [-3.09105925, 3.09105925, 0.0], [0.0, 0.0, 6.1821185]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[75 75 75 75 76 76 31 31]
13189,Mn2WTl,a018cbd8-3eae-4e97-8637-28c01da353f0,"[[3.14898395, 3.14898395, 0.0], [-3.14898395, 3.14898395, 0.0], [0.0, 0.0, 6.43437628]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 74 74 81 81]
63745,Lu2AgSb,bb814dbd-969a-4eef-b8f2-1ca949338c02,"[[3.39897544, 3.39897544, 0.0], [-3.39897544, 3.39897544, -0.0], [-0.0, -0.0, 8.30679893]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[71 71 71 71 47 47 51 51]
83021,Mo2CrSn,c90fd836-be47-495f-a2ea-671bb5146e1d,"[[3.1663475, 3.1663475, -0.0], [-3.1663475, 3.1663475, 0.0], [0.0, -0.0, 6.35654562]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 24 24 50 50]
53919,Os2IrPb,e1c70ebc-b69a-4db3-bfe0-7e8af6d634c1,"[[2.88370382, 2.88370382, 0.0], [-2.88370382, 2.88370382, 0.0], [0.0, 0.0, 7.87663901]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 76 76 77 77 82 82]
52480,OsScPb,89ea3923-eb7e-4049-a45d-5c03d89865c3,"[[3.25483836, 3.25483836, -0.0], [-3.25483836, 3.25483836, -0.0], [-0.0, -0.0, 6.4641346]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[76 76 21 21 82 82]
9461,Cr2ZrSb,402ade0e-becc-485d-ad78-93c4a80fb082,"[[3.19534694, 3.19534694, 0.0], [-3.19534694, 3.19534694, 0.0], [0.0, 0.0, 6.38366086]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 40 40 51 51]
42527,Cd2FeAl,394a99a4-e8e4-4c64-a874-b1797d4845e6,"[[2.79898221, 2.79898221, 0.0], [-2.79898221, 2.79898221, -0.0], [-0.0, -0.0, 8.73653145]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[48 48 48 48 26 26 13 13]
47238,Ta2CoSi,4c23a12d-0ddd-4f15-9e68-5ec8a6e936dc,"[[2.79142191, 2.79142191, -0.0], [-2.79142191, 2.79142191, 0.0], [-0.0, -0.0, 7.59413263]]","[[0.5, 3.9772670001904394e-17, 0.24999999999999997], [0.9999999999999999, 0.4999999999999999, 0.7499999999999998], [0.5, 3.9772670001904394e-17, 0.7499999999999998], [0.9999999999999999, 0.4999999999999999, 0.24999999999999997], [0.0, 0.0, 0.49999999999999983], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.49999999999999983]]",[73 73 73 73 27 27 14 14]
82986,Mo2VPb,f4a6ae7e-07fd-4f51-8f06-fd561ed3ed75,"[[2.86653392, 2.86653392, -0.0], [-2.86653392, 2.86653392, 0.0], [0.0, 0.0, 8.26243429]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 23 23 82 82]
15478,FePdAs,19c535cd-ed89-4220-bbb1-c5597c85c298,"[[2.9018164, 2.9018164, 0.0], [-2.9018164, 2.9018164, 0.0], [-0.0, -0.0, 5.83288932]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 46 46 33 33]
88008,Pd2NiAs,b316eca1-044b-4d31-8cb2-b5db2776097a,"[[2.71906917, 2.71906917, -0.0], [-2.71906917, 2.71906917, 0.0], [0.0, 0.0, 7.77013166]]","[[0.4999999999999999, 4.0830996021522926e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.0830996021522926e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[46 46 46 46 28 28 33 33]
105279,Lu2ZnP,0362a34c-a517-45ef-8f3c-3f335bcf979a,"[[2.82595368, 2.82595368, 0.0], [-2.82595368, 2.82595368, -0.0], [0.0, 0.0, 10.43007114]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[71 71 71 71 30 30 15 15]
61919,La2ReAs,760e7dec-4972-4c80-980f-693f9808b960,"[[3.57032266, 3.57032266, 0.0], [-3.57032266, 3.57032266, 0.0], [-0.0, -0.0, 7.75787236]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 75 75 33 33]
2401,Sc2OsGe,449d880a-21b8-4420-b2f7-7d3a3f69cf97,"[[3.26747475, 3.26747475, -0.0], [-3.26747475, 3.26747475, -0.0], [-0.0, -0.0, 6.58861503]]","[[0.49999999999999983, 3.397801389666918e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.49999999999999983, 3.397801389666918e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[21 21 21 21 76 76 32 32]
84895,Ru2YSb,af1a6be3-c899-4d9a-ab8c-e16c4ae3dfc3,"[[2.79992062, 2.79992062, 0.0], [-2.79992062, 2.79992062, -0.0], [-0.0, -0.0, 9.32157385]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 39 39 51 51]
83008,Mo2CrGa,a3a58d3e-e456-4ded-af6d-8ce296af5ce5,"[[3.10301596, 3.10301596, 0.0], [-3.10301596, 3.10301596, 0.0], [-0.0, -0.0, 6.20277837]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 24 24 31 31]
76907,Zn2NiP,51a6b42d-b817-487e-8b2a-ec8e4f4eb483,"[[2.61621378, 2.61621378, 0.0], [-2.61621378, 2.61621378, 0.0], [-0.0, -0.0, 7.73402059]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[30 30 30 30 28 28 15 15]
