,composition,UUID,cell,positions,numbers
46421,Hf2ReSn,b4eaef47-83bc-479d-9e14-0d9e3050fb43,"[[3.09040513, 3.09040513, 0.0], [-3.09040513, 3.09040513, 0.0], [0.0, 0.0, 8.16466756]]","[[0.5, 3.5924837615874544e-17, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 3.5924837615874544e-17, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.49999999999999983, 0.5, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.5, 0.5]]",[72 72 72 72 75 75 50 50]
99944,Ir2TaPb,dd6431d9-3b95-4d59-84ca-fd0bc1802029,"[[2.85725048, 2.85725048, 0.0], [-2.85725048, 2.85725048, 0.0], [-0.0, -0.0, 8.51793594]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[77 77 77 77 73 73 82 82]
25303,ZnCdSn,10a6973b-1c5f-4292-ae19-b51f44e43122,"[[3.27358235, 3.27358235, -0.0], [-3.27358235, 3.27358235, -0.0], [0.0, 0.0, 6.6804902]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[30 30 48 48 50 50]
31426,Nb2RhBi,51e81993-c684-40ab-8638-1e975a54585d,"[[2.83638913, 2.83638913, -0.0], [-2.83638913, 2.83638913, 0.0], [-0.0, 0.0, 9.1831906]]","[[0.5, 3.9142126617343107e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.5, 3.9142126617343107e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999994, 0.5]]",[41 41 41 41 45 45 83 83]
35396,Ru2CdGa,7939792b-7ed9-41b8-a278-48d972cc97ed,"[[2.84376363, 2.84376363, -0.0], [-2.84376363, 2.84376363, -0.0], [-0.0, -0.0, 7.67366517]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[44 44 44 44 48 48 31 31]
88259,Pd2MoAl,583eb62b-d9c9-4218-88f3-3571e81ffcaf,"[[3.11036591, 3.11036591, -0.0], [-3.11036591, 3.11036591, -0.0], [-0.0, -0.0, 6.24797627]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 46 46 42 42 13 13]
53475,OsAgGe,c49019d2-6c80-465c-a490-27ce67b0d19d,"[[3.02370571, 3.02370571, -0.0], [-3.02370571, 3.02370571, -0.0], [-0.0, -0.0, 6.03041174]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 47 47 32 32]
19721,NiCoBi,1c2c1f47-f2c5-49af-88b9-6faab0d04642,"[[2.96702885, 2.96702885, 0.0], [-2.96702885, 2.96702885, -0.0], [-0.0, -0.0, 5.9779658]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[28 28 27 27 83 83]
83319,Mo2CuIn,8d8faf7f-4816-4ebf-8d3c-482ac1a62d79,"[[2.85965612, 2.85965612, -0.0], [-2.85965612, 2.85965612, -0.0], [0.0, 0.0, 7.84411694]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 29 29 49 49]
38461,PdCuSi,9f32186f-3a7e-4f90-95f6-29789d779b13,"[[2.4468236, 2.4468236, 0.0], [-2.4468236, 2.4468236, 0.0], [0.0, 0.0, 7.57731936]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 29 29 14 14]
