,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom),total magnetization (muB/f.u.),band gap (eV)
16518,Co2TiIn,47c5ba1e-ff39-4ad3-9837-2d95161d02f5,"[[3.03207215, 3.03207215, -0.0], [-3.03207215, 3.03207215, -0.0], [-0.0, 0.0, 6.1007813]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 22 22 49 49],-6.35829403375,-0.2497187249999992,0.018134288446567,1.02808915,
8415,Cr3Tl,bffa65be-99e2-4692-a81e-5674eb94d83d,"[[3.18233526, 3.18233526, 0.0], [-3.18233526, 3.18233526, 0.0], [-0.0, -0.0, 6.37411149]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 24 24 81 81],-7.11355621875,0.5795890268749995,0.5795890268749995,2.99372305,0.0
9498,Cr2NbGa,71f2cabe-26ad-4b5d-8523-ae7a83bbf975,"[[3.0768053, 3.0768053, -0.0], [-3.0768053, 3.0768053, 0.0], [0.0, -0.0, 6.14669054]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 24 24 41 41 31 31],-7.99893434375,0.0095353312500003,0.1846493042241386,3.78554905,0.0
26353,YCrSn,609d8731-b9d4-4efc-9f4b-0f8ed09715d2,"[[2.76796371, 2.76796371, 0.0], [-2.76796371, 2.76796371, -0.0], [0.0, 0.0, 9.99743284]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 24 24 50 50],-6.395916318333334,0.2013548333333332,0.741377877283734,2.973595,
41539,Ag2WSb,4ded3a0c-27cb-42d7-b3b7-a498c876ea0d,"[[2.78889466, 2.78889466, 0.0], [-2.78889466, 2.78889466, -0.0], [-0.0, -0.0, 9.71279611]]","[[0.5, 3.980871133458862e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.980871133458862e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5000000000000001, 0.5000000000000002, 0.0], [0.0, 0.0, 0.0], [0.5000000000000001, 0.5000000000000002, 0.5]]",[47 47 47 47 74 74 51 51],-4.8953744325,0.7352177337499999,0.7352225997916666,0.7255177,
40074,Ag2MnGe,d8474c07-6702-4889-ac3e-bdf884f1630e,"[[2.81574075, 2.81574075, 0.0], [-2.81574075, 2.81574075, -0.0], [0.0, 0.0, 8.59694817]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[47 47 47 47 25 25 32 32],-4.57427387875,0.1273088487500002,0.1998245237439744,3.9583907,
71758,FeMnP,f646883e-a9dd-4808-b18f-757f3cfce121,"[[0.0, 2.65861196, 2.65861196], [2.65861196, -0.0, 2.65861196], [2.65861196, 2.65861196, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[26 25 15],-7.87827849,-0.3652082578571421,0.2809048047272036,1.9999576,0.0
51880,ReAgAl,78a0992c-fc7e-4c03-b45c-e28f3581a9d4,"[[3.0833318, 3.0833318, -0.0], [-3.0833318, 3.0833318, 0.0], [0.0, 0.0, 6.16625209]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[75 75 47 47 13 13],-5.33316651,0.9505166149999996,1.1528429699999996,2.0524598,0.0
38983,Pd2RhBi,fa1cd128-d937-4744-b259-b11f65712db7,"[[2.88805221, 2.88805221, 0.0], [-2.88805221, 2.88805221, 0.0], [-0.0, 0.0, 8.3382971]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[46 46 46 46 45 45 83 83],-5.4202891325,-0.0288352787499999,0.1874495099999995,0.19620615,
98543,Os2Bi,7c19b189-c34b-4235-bfec-8031cec4bd82,"[[3.13472627, 3.13472627, -0.0], [-3.13472627, 3.13472627, 0.0], [-0.0, 0.0, 6.26907468]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 76 76 83 83],-7.772007885,1.0058058333333335,1.0058058333333335,0.23878915,0.0
