,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
38269,Pd2CoAl,54f4b963-4983-42ac-8f9c-bde572111866,"[[2.77491934, 2.77491934, 0.0], [-2.77491934, 2.77491934, 0.0], [0.0, 0.0, 7.20375354]]","[[0.5, 4.000919985750493e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.5, 4.000919985750493e-17, 0.75], [0.9999999999999999, 0.4999999999999999, 0.25], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999994, 0.5]]",[46 46 46 46 27 27 13 13],-5.7455433675,-0.4448013162500004,409.5
11645,Mn2CoGe,08c573ec-4c83-4e46-a26c-b6e539a261c5,"[[2.65048709, 2.65048709, 0.0], [-2.65048709, 2.65048709, -0.0], [0.0, 0.0, 6.85592923]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[25 25 25 25 27 27 32 32],-7.54974229375,-0.2333357400000002,807.0
78085,Y2MnAl,faf6c519-cd72-4247-a084-5d1a70ea5e78,"[[3.10323972, 3.10323972, -0.0], [-3.10323972, 3.10323972, 0.0], [0.0, 0.0, 9.4214543]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 39 39 25 25 13 13],-6.3870940625,-0.0246646075000009,397.0
56304,PtCoGe,5686c3c0-f6a8-48bb-81ec-bf3162b66d77,"[[2.79892117, 2.79892117, 0.0], [-2.79892117, 2.79892117, 0.0], [0.0, -0.0, 6.34399109]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[78 78 27 27 32 32],-5.9095989766666674,-0.0234855916666679,30.9
8137,Cr2TiGa,e9b52c53-a560-48f6-bd27-99781a2e6e2f,"[[3.01577058, 3.01577058, 0.0], [-3.01577058, 3.01577058, -0.0], [-0.0, 0.0, 6.01842772]]","[[0.49999999999999983, 3.6813908590658e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.49999999999999983, 3.6813908590658e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[24 24 24 24 22 22 31 31],-7.4697877825,-0.0332145487500001,604.2
1967,Sc2AgBi,3656ac51-3b7c-4e5a-8894-c94fabae6bad,"[[3.2772022, 3.2772022, 0.0], [-3.2772022, 3.2772022, -0.0], [0.0, 0.0, 8.37657922]]","[[0.5, 3.3877159750019595e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.3877159750019595e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5000000000000002, 0.5000000000000002, 0.0], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000002, 0.5]]",[21 21 21 21 47 47 83 83],-5.13701773,-0.36335506125,157.7
3669,Ti2CuSi,326bb86b-1e46-433c-9f3c-d396b40700b4,"[[2.6157623, 2.6157623, -0.0], [-2.6157623, 2.6157623, 0.0], [-0.0, 0.0, 8.51072756]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 22 22 29 29 14 14],-6.51808146,-0.3236833424999998,49.7
11278,MnCrAs,4acee6cf-c711-472e-bedb-ecfff1bc7fab,"[[2.76745836, 2.76745836, 0.0], [-2.76745836, 2.76745836, -0.0], [0.0, 0.0, 5.53070371]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 24 24 33 33],-7.816321769999999,-0.1333786783333318,1690.2
34435,Ru2CrSn,0927e837-bee6-484f-8cbc-a801ee7e6178,"[[-0.0, 3.11435158, 3.11435158], [3.11435158, 0.0, 3.11435158], [3.11435158, 3.11435158, -0.0]]","[[0.25000000000000017, 0.25000000000000017, 0.24999999999999983], [0.7500000000000003, 0.7500000000000003, 0.7499999999999996], [0.5000000000000002, 0.5000000000000002, 0.4999999999999998], [0.0, 0.0, 0.0]]",[44 44 24 50],-7.995368315,-0.0382015412500003,5.0
71643,Mn2AuIn,b4f36cb9-12a0-4b52-ace8-56dabd1f038f,"[[3.03323557, 3.03323557, 0.0], [-3.03323557, 3.03323557, 0.0], [0.0, 0.0, 7.38259757]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[25 25 25 25 79 79 49 49],-5.87348383,-0.0009721624999992,781.6
